order_id,customer_id,country,order_date,worker_id,total_paid
OR0000056,CU07700,CA,2023-10-24,WO00332,41.51
OR0000057,CU08396,IR,2025-07-14,WO00179,44.0225
OR0000058,CU06073,UK,2025-01-09,WO00051,70.41
OR0000059,CU04274,CA,2025-03-16,WO00012,43.7975
OR0000060,CU00050,CA,2022-04-10,WO00094,5.98
OR0000061,CU00110,CA,2025-05-18,WO00460,28.6
OR0000062,CU04067,IR,2020-03-29,WO00382,173.19
OR0000063,CU05624,CA,2022-12-17,WO00124,64.13
OR0000064,CU00761,UK,2024-10-19,WO00133,69.66
OR0000065,CU04134,CA,2026-02-20,WO00090,15.33
OR0000066,CU07445,UK,2024-09-27,WO00072,55.48
OR0000067,CU03879,UK,2023-02-11,WO00469,28.9
OR0000068,CU01761,CA,2025-06-21,WO00123,72.35
OR0000069,CU01865,CA,2025-11-17,WO00228,80.38
OR0000070,CU02299,CA,2025-09-30,WO00413,61.65
OR0000071,CU01087,UK,2023-08-09,WO00101,51.379999999999995
OR0000072,CU05424,UK,2024-07-13,WO00033,19.75
OR0000073,CU02669,UK,2024-08-23,WO00452,67.04
OR0000074,CU08377,UK,2024-01-05,WO00335,64.89
OR0000075,CU06805,CA,2026-03-17,WO00225,74.83
OR0000076,CU04065,IR,2024-08-20,WO00221,100.805
OR0000077,CU04443,UK,2024-05-08,WO00115,25.95
OR0000078,CU01143,IR,2024-11-18,WO00253,53.46
OR0000079,CU06068,UK,2025-07-28,WO00473,98.7
OR0000080,CU01814,IR,2023-12-08,WO00346,17.355
OR0000081,CU08674,CA,2024-08-13,WO00260,71.44
OR0000082,CU04718,IR,2025-08-07,WO00174,32.24
OR0000083,CU01700,CA,2025-03-13,WO00123,28.15
OR0000084,CU02847,UK,2025-09-04,WO00003,57.86
OR0000085,CU04542,CA,2024-12-12,WO00248,35.7
OR0000086,CU01212,UK,2026-01-24,WO00416,103.77250000000001
OR0000087,CU07929,CA,2022-05-10,WO00330,92.8475
OR0000088,CU00676,UK,2024-02-28,WO00169,63.879999999999995
OR0000089,CU02053,UK,2023-05-18,WO00430,55.895
OR0000090,CU05235,UK,2019-03-29,WO00456,51.24
OR0000091,CU01669,CA,2023-08-25,WO00285,68.9
OR0000092,CU01831,CA,2023-01-06,WO00110,32.1
OR0000093,CU06590,CA,2024-12-23,WO00052,22.86
OR0000094,CU07893,CA,2025-12-24,WO00423,18.62
OR0000095,CU08681,UK,2022-07-07,WO00436,45.12
OR0000096,CU01402,UK,2024-11-30,WO00093,16.36
OR0000097,CU07040,CA,2025-11-29,WO00486,8.99
OR0000098,CU05706,UK,2022-09-08,WO00203,80.705
OR0000099,CU02456,CA,2026-03-16,WO00472,33.809999999999995
OR0000100,CU04249,CA,2026-02-18,WO00259,66.71000000000001
OR0000101,CU02769,UK,2024-10-28,WO00499,15.04
OR0000102,CU00085,UK,2025-01-26,WO00204,53.94
OR0000103,CU04953,UK,2025-08-09,WO00167,34.5375
OR0000104,CU06803,UK,2025-10-21,WO00427,6.99
OR0000105,CU05596,CA,2025-11-19,WO00380,18.13
OR0000106,CU06849,IR,2026-02-01,WO00262,7.49
OR0000107,CU01327,CA,2025-01-04,WO00464,21.7425
OR0000108,CU03340,UK,2025-11-04,WO00269,44.17
OR0000109,CU03023,UK,2025-10-26,WO00030,151.03
OR0000110,CU00330,IR,2024-02-17,WO00145,87.31
OR0000111,CU05010,CA,2021-05-20,WO00094,60.82
OR0000112,CU08947,UK,2024-10-26,WO00443,13.14
OR0000113,CU06679,CA,2022-05-05,WO00440,28.6
OR0000114,CU03597,UK,2026-01-14,WO00117,10.920000000000002
OR0000115,CU03789,CA,2025-10-22,WO00472,24.82
OR0000116,CU06261,CA,2024-07-21,WO00274,41.03
OR0000117,CU07055,CA,2025-12-30,WO00037,38.83
OR0000118,CU00694,CA,2024-03-15,WO00297,31.755
OR0000119,CU05045,CA,2023-02-13,WO00103,29.54
OR0000120,CU04016,UK,2025-08-05,WO00396,82.69
OR0000121,CU08360,CA,2024-09-23,WO00444,29.9052
OR0000122,CU07769,IR,2024-01-03,WO00398,15.030000000000001
OR0000123,CU03900,CA,2025-10-02,WO00457,68.79
OR0000124,CU08936,IR,2025-01-02,WO00187,24.1528
OR0000125,CU03812,CA,2026-02-21,WO00319,94.22500000000001
OR0000126,CU05025,UK,2021-05-10,WO00317,47.75
OR0000127,CU01498,UK,2019-12-09,WO00204,20.040000000000003
OR0000128,CU06904,CA,2025-12-27,WO00139,19.8125
OR0000129,CU07083,CA,2025-07-14,WO00042,31.23
OR0000130,CU00579,UK,2025-08-11,WO00310,61.88
OR0000131,CU01593,CA,2026-01-29,WO00294,36.839999999999996
OR0000132,CU07473,UK,2023-08-16,WO00335,15.4
OR0000133,CU02187,CA,2024-07-20,WO00074,79.814
OR0000134,CU01352,UK,2023-07-14,WO00391,42.04
OR0000135,CU04630,IR,2023-01-07,WO00176,27.990000000000002
OR0000136,CU08056,UK,2024-03-21,WO00169,53.22
OR0000137,CU08847,UK,2023-01-25,WO00109,50.01
OR0000138,CU00042,CA,2022-12-04,WO00227,67.3275
OR0000139,CU07201,CA,2025-02-25,WO00227,5.3
OR0000140,CU08712,IR,2022-04-20,WO00054,21.64
OR0000141,CU08390,UK,2025-03-27,WO00031,43.52
OR0000142,CU05747,UK,2025-10-24,WO00194,54.75
OR0000143,CU00802,IR,2025-11-12,WO00263,51.2425
OR0000144,CU00667,UK,2022-11-26,WO00447,81.88
OR0000145,CU04368,CA,2023-06-03,WO00330,25.51
OR0000146,CU02263,UK,2023-01-24,WO00432,32.239999999999995
OR0000147,CU08229,CA,2024-07-02,WO00486,91.83
OR0000148,CU01592,UK,2023-04-23,WO00167,69.8
OR0000149,CU06431,CA,2022-11-19,WO00217,40.59
OR0000150,CU08750,UK,2018-09-27,WO00098,23.75
OR0000151,CU06133,UK,2026-02-02,WO00441,31.69
OR0000152,CU02395,UK,2018-10-28,WO00073,9.5775
OR0000153,CU04512,UK,2026-02-14,WO00245,22.0841
OR0000154,CU07400,CA,2025-08-09,WO00225,51.55
OR0000155,CU02047,UK,2024-07-10,WO00359,50.67
OR0000156,CU00128,UK,2021-08-10,WO00051,25.84
OR0000157,CU03163,CA,2025-10-12,WO00191,13.4
OR0000158,CU05665,UK,2024-02-24,WO00254,17.91
OR0000159,CU05338,UK,2019-07-16,WO00183,34.17
OR0000160,CU04668,UK,2023-11-06,WO00411,15.6
OR0000161,CU01543,UK,2020-07-30,WO00194,11.96
OR0000162,CU05451,CA,2025-02-26,WO00486,27.950000000000003
OR0000163,CU06208,UK,2025-05-24,WO00115,125.94
OR0000164,CU08812,CA,2025-12-28,WO00395,58.230000000000004
OR0000165,CU00893,IR,2025-07-02,WO00187,51.43
OR0000166,CU01334,IR,2023-10-24,WO00159,21.35
OR0000167,CU06777,IR,2022-09-26,WO00253,56.98
OR0000168,CU04532,UK,2017-05-10,WO00109,69.57
OR0000169,CU04588,CA,2025-10-12,WO00285,90.52000000000001
OR0000170,CU08027,CA,2024-06-24,WO00257,21.2
OR0000171,CU05144,IR,2024-08-01,WO00336,41.12
OR0000172,CU00544,UK,2021-06-17,WO00036,63.85
OR0000173,CU01189,CA,2026-02-17,WO00464,39.71
OR0000174,CU04054,UK,2020-12-29,WO00157,23.3
OR0000175,CU05805,UK,2024-04-11,WO00104,12.169999999999998
OR0000176,CU01929,UK,2024-04-06,WO00290,38.54
OR0000177,CU04658,UK,2023-03-20,WO00452,18.9
OR0000178,CU01993,CA,2026-03-10,WO00066,73.6
OR0000179,CU04648,CA,2024-02-19,WO00257,12.83
OR0000180,CU07095,CA,2025-02-20,WO00205,51.14
OR0000181,CU07806,CA,2025-12-08,WO00380,27.98
OR0000182,CU07724,UK,2024-10-17,WO00318,30.2125
OR0000183,CU01026,IR,2018-08-14,WO00361,55.72
OR0000184,CU01170,CA,2024-12-22,WO00301,150.35999999999999
OR0000185,CU02013,CA,2026-03-02,WO00332,79.44
OR0000186,CU00423,UK,2025-01-06,WO00447,82.36
OR0000187,CU05232,UK,2023-06-10,WO00287,26.6
OR0000188,CU05242,CA,2026-03-06,WO00450,37.730000000000004
OR0000189,CU05286,UK,2025-05-27,WO00335,31.57
OR0000190,CU00510,CA,2025-05-18,WO00463,45.11
OR0000191,CU03245,UK,2022-12-26,WO00416,54.965
OR0000192,CU07894,CA,2025-08-15,WO00226,60.58
OR0000193,CU02734,CA,2024-10-21,WO00479,71.17
OR0000194,CU06754,UK,2026-01-14,WO00411,39.949999999999996
OR0000195,CU07504,UK,2020-12-16,WO00177,19.840000000000003
OR0000196,CU06453,UK,2022-04-21,WO00376,23.91
OR0000197,CU02008,UK,2026-03-06,WO00436,75.49
OR0000198,CU05460,UK,2024-05-29,WO00223,27.76
OR0000199,CU01825,UK,2025-01-16,WO00001,98.5428
OR0000200,CU01055,IR,2025-01-24,WO00045,73.9
OR0000201,CU02849,UK,2017-01-12,WO00033,45.9
OR0000202,CU08076,UK,2019-12-23,WO00277,61.557500000000005
OR0000203,CU05137,CA,2022-08-15,WO00324,10.440000000000001
OR0000204,CU04279,IR,2025-07-01,WO00351,49.269999999999996
OR0000205,CU04737,CA,2025-11-07,WO00330,72.66
OR0000206,CU04852,UK,2025-02-19,WO00247,80.38
OR0000207,CU04308,CA,2025-08-10,WO00100,12.29
OR0000208,CU03938,CA,2023-10-23,WO00016,71.05
OR0000209,CU06188,CA,2025-02-06,WO00440,41.88
OR0000210,CU04808,CA,2022-08-24,WO00021,31.7525
OR0000211,CU03386,CA,2026-02-11,WO00042,36.67
OR0000212,CU06282,IR,2026-01-04,WO00085,35.37
OR0000213,CU04052,UK,2022-03-07,WO00441,78.3
OR0000214,CU00061,UK,2025-12-24,WO00220,44.38
OR0000215,CU02122,IR,2024-09-06,WO00046,68.005
OR0000216,CU06581,CA,2026-01-13,WO00422,4.9
OR0000217,CU04157,UK,2022-09-20,WO00465,47.79
OR0000218,CU08127,UK,2024-12-07,WO00048,52.2375
OR0000219,CU03133,IR,2022-04-21,WO00142,36.6
OR0000220,CU01147,IR,2024-07-15,WO00202,37.44
OR0000221,CU01692,UK,2025-02-06,WO00485,16.44
OR0000222,CU00066,UK,2020-06-18,WO00005,17.6
OR0000223,CU04224,IR,2022-04-02,WO00159,43.27
OR0000224,CU04454,UK,2025-12-15,WO00362,8.61
OR0000225,CU01392,UK,2022-06-14,WO00182,21.84
OR0000226,CU07457,UK,2021-02-01,WO00258,44.019999999999996
OR0000227,CU06427,UK,2024-01-31,WO00127,43.31
OR0000228,CU00928,CA,2025-12-14,WO00025,22.96
OR0000229,CU04873,CA,2021-11-01,WO00165,46.07
OR0000230,CU02552,UK,2026-02-09,WO00254,46.97
OR0000231,CU08457,CA,2025-10-06,WO00188,171.73999999999998
OR0000232,CU04471,CA,2025-12-09,WO00260,18.85
OR0000233,CU00449,CA,2022-05-18,WO00197,34.660000000000004
OR0000234,CU08420,CA,2023-10-28,WO00197,25.295
OR0000235,CU08228,UK,2025-11-10,WO00343,42.79
OR0000236,CU07688,UK,2024-04-05,WO00183,53.08
OR0000237,CU01681,CA,2024-08-07,WO00464,73.39
OR0000238,CU07770,CA,2025-05-27,WO00139,42.47
OR0000239,CU03384,UK,2024-01-10,WO00356,79.83
OR0000240,CU06064,CA,2025-10-19,WO00453,75.99000000000001
OR0000241,CU05430,UK,2025-12-12,WO00223,65.22
OR0000242,CU06196,CA,2025-11-29,WO00252,63.9625
OR0000243,CU07986,UK,2018-11-13,WO00183,81.0475
OR0000244,CU02540,CA,2025-04-06,WO00250,20.08
OR0000245,CU05330,CA,2024-10-16,WO00218,82.6
OR0000246,CU02140,CA,2025-07-08,WO00354,36.22
OR0000247,CU02448,UK,2022-10-02,WO00177,48.0375
OR0000248,CU05511,CA,2023-12-22,WO00013,19.5
OR0000249,CU06100,IR,2025-07-05,WO00351,17.54
OR0000250,CU06737,CA,2025-12-24,WO00032,57.55
OR0000251,CU05703,CA,2024-06-05,WO00420,47.665
OR0000252,CU06162,UK,2025-11-19,WO00378,45.34
OR0000253,CU07456,UK,2024-01-07,WO00436,183.20999999999998
OR0000254,CU04317,UK,2025-07-15,WO00070,63.459999999999994
OR0000255,CU00672,UK,2023-09-05,WO00024,56.8
OR0000256,CU03003,UK,2020-02-10,WO00335,16.55
OR0000257,CU02689,CA,2025-10-26,WO00050,19.67
OR0000258,CU03630,CA,2023-09-11,WO00103,23.42
OR0000259,CU04805,IR,2025-12-21,WO00483,26.57
OR0000260,CU07291,CA,2026-01-31,WO00387,38.66
OR0000261,CU04039,UK,2022-12-28,WO00359,107.7
OR0000262,CU06439,CA,2026-02-16,WO00217,92.23
OR0000263,CU08318,CA,2025-10-08,WO00066,13.43
OR0000264,CU01341,UK,2025-05-24,WO00029,55.78
OR0000265,CU02665,UK,2025-09-28,WO00321,20.25
OR0000266,CU08963,CA,2026-03-12,WO00164,29.990000000000002
OR0000267,CU01339,CA,2024-05-31,WO00325,7.5
OR0000268,CU06884,UK,2022-07-06,WO00300,39.42
OR0000269,CU03808,CA,2026-03-08,WO00364,23.91
OR0000270,CU00611,UK,2025-02-16,WO00093,8.165
OR0000271,CU07329,UK,2020-01-09,WO00338,33.5
OR0000272,CU04021,UK,2021-01-30,WO00005,10.2
OR0000273,CU07905,CA,2025-11-08,WO00332,32.71
OR0000274,CU04267,CA,2024-01-10,WO00200,93.32
OR0000275,CU06158,UK,2020-11-30,WO00127,127.41
OR0000276,CU03701,UK,2025-04-29,WO00317,32.63
OR0000277,CU07272,UK,2024-09-18,WO00276,40.475
OR0000278,CU04871,CA,2024-09-03,WO00257,110.38
OR0000279,CU07932,IR,2021-10-23,WO00214,12.8
OR0000280,CU04325,IR,2025-03-08,WO00244,88.8125
OR0000281,CU07101,UK,2024-05-02,WO00204,17.69
OR0000282,CU03176,IR,2024-03-14,WO00498,26.51
OR0000283,CU08908,CA,2026-01-06,WO00205,99.965
OR0000284,CU00240,UK,2020-02-03,WO00456,30.65
OR0000285,CU02109,CA,2024-07-13,WO00301,53.3
OR0000286,CU07749,UK,2021-08-26,WO00030,29.07
OR0000287,CU02982,UK,2024-11-15,WO00107,13.499999999999998
OR0000288,CU02319,UK,2025-11-25,WO00068,29.380000000000003
OR0000289,CU06809,IR,2022-03-02,WO00221,16.44
OR0000290,CU05828,UK,2024-03-13,WO00441,36.65
OR0000291,CU08543,UK,2025-11-29,WO00291,18.24
OR0000292,CU04948,UK,2021-12-14,WO00441,72.55
OR0000293,CU04706,IR,2025-01-31,WO00283,56.24
OR0000294,CU00582,CA,2024-09-18,WO00192,63.7375
OR0000295,CU07752,CA,2025-09-07,WO00224,57.7025
OR0000296,CU04332,UK,2024-06-24,WO00127,105.31
OR0000297,CU01662,CA,2022-05-12,WO00200,100.56
OR0000298,CU04776,UK,2026-01-05,WO00247,29.17
OR0000299,CU05801,CA,2025-04-25,WO00347,3.8499999999999996
OR0000300,CU03535,UK,2022-07-11,WO00150,29.75
OR0000301,CU00158,CA,2025-08-15,WO00227,117.34249999999999
OR0000302,CU08534,UK,2018-02-21,WO00104,86.04
OR0000303,CU07248,CA,2024-11-18,WO00481,75.39
OR0000304,CU06635,IR,2023-01-16,WO00046,34.78
OR0000305,CU04231,UK,2023-12-22,WO00378,21.81
OR0000306,CU00563,UK,2026-02-07,WO00107,50.79
OR0000307,CU04777,IR,2026-02-07,WO00176,37.8
OR0000308,CU03243,UK,2017-04-26,WO00377,68.59
OR0000309,CU02793,UK,2025-05-21,WO00256,47.34
OR0000310,CU07593,IR,2025-10-05,WO00314,61.3666
OR0000311,CU06752,UK,2025-09-18,WO00177,19.57
OR0000312,CU06134,IR,2024-02-24,WO00425,37.18
OR0000313,CU01256,IR,2024-10-23,WO00302,9.99
OR0000314,CU06656,UK,2025-07-01,WO00363,15.68
OR0000315,CU01616,UK,2020-08-09,WO00182,49.91
OR0000316,CU07673,UK,2018-05-09,WO00033,91.28999999999999
OR0000317,CU05923,CA,2025-09-16,WO00190,51.589999999999996
OR0000318,CU00045,CA,2025-05-25,WO00015,15.66
OR0000319,CU00101,UK,2024-04-14,WO00316,41.47
OR0000320,CU05582,UK,2020-10-15,WO00333,62.72
OR0000321,CU03391,CA,2025-11-09,WO00050,47.300000000000004
OR0000322,CU04200,UK,2022-10-18,WO00317,134.89
OR0000323,CU00728,CA,2024-02-11,WO00139,48.2
OR0000324,CU01276,CA,2022-06-09,WO00463,29.92
OR0000325,CU02191,CA,2025-06-17,WO00153,73.67999999999999
OR0000326,CU03826,IR,2022-03-24,WO00187,71.39
OR0000327,CU07647,UK,2022-09-25,WO00177,72.09
OR0000328,CU07672,CA,2026-01-31,WO00191,16.0
OR0000329,CU04287,UK,2026-03-05,WO00310,21.06
OR0000330,CU02440,UK,2021-06-23,WO00082,20.4175
OR0000331,CU01413,UK,2024-01-30,WO00368,166.85999999999999
OR0000332,CU04771,CA,2024-02-14,WO00464,49.875
OR0000333,CU08473,UK,2024-02-05,WO00445,15.65
OR0000334,CU00170,CA,2022-03-19,WO00165,31.68
OR0000335,CU04014,CA,2025-01-03,WO00105,42.519999999999996
OR0000336,CU00772,UK,2022-12-07,WO00119,106.19999999999999
OR0000337,CU03828,CA,2026-03-03,WO00482,21.98
OR0000338,CU06320,CA,2026-02-16,WO00124,48.09
OR0000339,CU02553,UK,2025-05-08,WO00499,19.44
OR0000340,CU07926,UK,2025-08-06,WO00008,46.51
OR0000341,CU02439,UK,2022-10-15,WO00321,19.03
OR0000342,CU01544,UK,2023-04-30,WO00167,21.13
OR0000343,CU01680,UK,2025-08-12,WO00245,13.89
OR0000344,CU08362,CA,2024-05-07,WO00012,50.510000000000005
OR0000345,CU08685,CA,2025-08-10,WO00050,86.34
OR0000346,CU06919,UK,2026-01-31,WO00168,12.18
OR0000347,CU08121,IR,2026-01-24,WO00471,53.61
OR0000348,CU05381,UK,2025-12-22,WO00082,22.88
OR0000349,CU01408,CA,2021-06-29,WO00428,13.98
OR0000350,CU05865,CA,2025-11-09,WO00477,27.94
OR0000351,CU08420,CA,2025-12-24,WO00347,161.24
OR0000352,CU00911,UK,2022-02-27,WO00334,16.630000000000003
OR0000353,CU03604,CA,2024-06-21,WO00225,42.57
OR0000354,CU07922,UK,2021-08-22,WO00377,35.160000000000004
OR0000355,CU05650,CA,2026-01-13,WO00100,53.94
OR0000356,CU03181,CA,2025-08-11,WO00296,61.730000000000004
OR0000357,CU05420,IR,2024-12-14,WO00111,92.68
OR0000358,CU04209,CA,2025-07-18,WO00250,44.04
OR0000359,CU08909,CA,2024-11-28,WO00178,39.64
OR0000360,CU04444,CA,2025-06-17,WO00069,22.12
OR0000361,CU05195,UK,2026-03-16,WO00291,99.68
OR0000362,CU04290,UK,2016-06-02,WO00271,19.12
OR0000363,CU07620,UK,2023-09-29,WO00150,37.62
OR0000364,CU03339,IR,2022-08-28,WO00159,46.39
OR0000365,CU01364,IR,2022-03-11,WO00215,57.775
OR0000366,CU04274,CA,2023-08-30,WO00099,28.630000000000003
OR0000367,CU01285,CA,2025-12-03,WO00264,96.08000000000001
OR0000368,CU01293,CA,2025-12-12,WO00329,20.32
OR0000369,CU07263,IR,2022-12-01,WO00071,17.455000000000002
OR0000370,CU04175,UK,2025-12-07,WO00369,47.34
OR0000371,CU05380,CA,2022-11-14,WO00050,38.36
OR0000372,CU02154,UK,2021-02-27,WO00271,25.229999999999997
OR0000373,CU06632,UK,2025-04-16,WO00029,27.080000000000002
OR0000374,CU06491,UK,2021-07-18,WO00355,12.87
OR0000375,CU06411,CA,2025-10-30,WO00307,71.93
OR0000376,CU00528,UK,2023-10-11,WO00334,39.55
OR0000377,CU05705,UK,2020-06-17,WO00310,12.66
OR0000378,CU00137,IR,2025-11-24,WO00011,77.55
OR0000379,CU02133,CA,2025-06-18,WO00332,34.71
OR0000380,CU04134,CA,2025-02-19,WO00108,47.05
OR0000381,CU03007,IR,2023-04-02,WO00418,43.42
OR0000382,CU04942,CA,2025-06-23,WO00233,111.84
OR0000383,CU08097,CA,2023-01-13,WO00420,25.55
OR0000384,CU07374,CA,2026-01-28,WO00061,62.71
OR0000385,CU04308,CA,2025-01-12,WO00281,30.76
OR0000386,CU00630,UK,2025-12-08,WO00384,22.9
OR0000387,CU07372,CA,2023-11-17,WO00209,72.65
OR0000388,CU00322,CA,2025-02-01,WO00217,45.13
OR0000389,CU06714,IR,2024-08-23,WO00419,28.58
OR0000390,CU06353,CA,2021-06-30,WO00446,29.54
OR0000391,CU02785,CA,2022-12-26,WO00482,133.99
OR0000392,CU01457,UK,2025-07-31,WO00474,109.9825
OR0000393,CU01547,UK,2024-07-28,WO00310,31.64
OR0000394,CU04355,UK,2022-10-30,WO00326,77.14
OR0000395,CU04584,UK,2025-12-10,WO00362,33.589
OR0000396,CU07835,CA,2026-03-09,WO00190,49.71
OR0000397,CU00616,CA,2023-12-13,WO00422,72.3075
OR0000398,CU03168,UK,2024-05-18,WO00210,16.805
OR0000399,CU04079,CA,2025-09-12,WO00358,29.6
OR0000400,CU00772,UK,2024-06-23,WO00182,42.01
OR0000401,CU04458,UK,2025-09-01,WO00362,40.0
OR0000402,CU03173,UK,2025-05-22,WO00271,40.160000000000004
OR0000403,CU03307,UK,2021-07-08,WO00391,20.44
OR0000404,CU06695,IR,2025-06-04,WO00459,77.2875
OR0000405,CU02059,UK,2022-11-15,WO00095,63.16
OR0000406,CU05144,IR,2024-08-04,WO00146,29.79
OR0000407,CU01121,CA,2022-05-26,WO00428,6.3
OR0000408,CU03169,IR,2024-07-10,WO00350,83.47
OR0000409,CU08303,CA,2025-12-28,WO00257,24.240000000000002
OR0000410,CU02437,UK,2022-10-17,WO00098,144.85
OR0000411,CU01517,UK,2024-08-07,WO00070,55.34
OR0000412,CU03144,IR,2025-01-03,WO00067,26.0
OR0000413,CU07780,CA,2026-01-20,WO00218,69.61
OR0000414,CU04960,CA,2022-11-26,WO00428,39.02
OR0000415,CU04428,CA,2026-01-22,WO00118,78.86
OR0000416,CU05755,UK,2020-07-03,WO00374,52.56
OR0000417,CU06075,UK,2026-02-17,WO00318,40.49
OR0000418,CU00253,UK,2022-05-02,WO00485,24.9775
OR0000419,CU03037,CA,2024-11-17,WO00431,81.7
OR0000420,CU03039,UK,2025-04-18,WO00255,57.95
OR0000421,CU02376,CA,2025-10-07,WO00217,41.449999999999996
OR0000422,CU05225,UK,2025-12-28,WO00203,108.47
OR0000423,CU06284,CA,2022-06-23,WO00364,57.26
OR0000424,CU07057,CA,2024-03-29,WO00299,90.69
OR0000425,CU06128,UK,2021-07-05,WO00469,26.18
OR0000426,CU02600,UK,2023-12-22,WO00157,52.93
OR0000427,CU06930,CA,2026-01-04,WO00386,49.34
OR0000428,CU03323,UK,2021-12-08,WO00189,84.07000000000001
OR0000429,CU03900,CA,2025-08-07,WO00303,57.440000000000005
OR0000430,CU01091,UK,2025-05-19,WO00059,66.48
OR0000431,CU07136,UK,2021-08-30,WO00441,6.47
OR0000432,CU07871,IR,2026-01-19,WO00426,35.85
OR0000433,CU04074,UK,2019-09-20,WO00095,56.22
OR0000434,CU02965,CA,2025-09-17,WO00366,70.87
OR0000435,CU04951,UK,2023-04-19,WO00104,28.88
OR0000436,CU01851,UK,2024-12-21,WO00194,50.37
OR0000437,CU02490,UK,2020-11-27,WO00024,51.9
OR0000438,CU03948,UK,2025-03-06,WO00355,29.34
OR0000439,CU06079,CA,2025-05-01,WO00390,72.05000000000001
OR0000440,CU05179,UK,2023-01-06,WO00411,21.54
OR0000441,CU06048,CA,2026-02-08,WO00354,11.9
OR0000442,CU08851,UK,2018-08-31,WO00029,43.47
OR0000443,CU00296,CA,2022-09-25,WO00165,47.88
OR0000444,CU02167,IR,2022-07-05,WO00062,47.54
OR0000445,CU06572,IR,2024-04-13,WO00004,86.78
OR0000446,CU08916,CA,2025-11-27,WO00294,10.41
OR0000447,CU01318,CA,2024-08-03,WO00165,26.622500000000002
OR0000448,CU07022,CA,2024-11-22,WO00404,94.0275
OR0000449,CU07570,CA,2025-11-22,WO00173,55.32
OR0000450,CU08772,CA,2025-07-27,WO00037,24.9
OR0000451,CU00388,UK,2026-02-02,WO00119,34.44
OR0000452,CU00148,UK,2023-06-21,WO00326,5.48
OR0000453,CU08943,CA,2025-07-13,WO00420,21.56
OR0000454,CU00817,IR,2025-08-13,WO00278,21.27
OR0000455,CU04996,UK,2024-08-16,WO00373,48.03
